toTest	runNum	timeIn	timeFin	toTestRates
0	1	2023-11-21 18:15:00	2023-11-21 19:24:49	0
0	2	2023-11-21 21:29:00	2023-11-21 22:35:45	0
0	3	2023-11-22 00:40:13	2023-11-22 01:46:42	0
0	4	2023-11-22 10:54:03	2023-11-22 12:04:56	0
0	5	2023-11-22 14:10:11	2023-11-22 15:16:14	0
0	6	2023-11-22 17:24:48	2023-11-22 18:44:46	0
0	7	2023-11-22 20:50:13	2023-11-22 22:10:01	0
0	8	2023-11-23 13:07:28	2023-11-23 14:31:14	0
0	9	2023-11-23 16:36:56	2023-11-23 17:56:49	0
0	10	2023-11-23 20:02:41	2023-11-23 21:22:24	0
0	11	2023-11-23 23:27:46	2023-11-24 00:48:00	0
0	12	2023-11-24 02:53:22	2023-11-24 04:13:35	0
0	13	2023-11-24 06:18:43	2023-11-24 07:39:11	0
0	14	2023-11-24 09:44:18	2023-11-24 11:04:47	0
0	15	2023-11-24 13:10:19	2023-11-24 14:30:22	0
0	16	2023-11-24 16:35:40	2023-11-24 17:55:57	0
1	17	2023-11-24 20:01:24	2023-11-24 21:21:33	1
1	18	2023-11-24 23:27:05	2023-11-25 00:47:08	1
1	19	2023-11-25 02:52:40	2023-11-25 04:12:44	1
1	20	2023-11-25 06:18:26	2023-11-25 07:38:21	1
1	21 	2023-11-25 09:43:53	2023-11-25 11:03:57	1
1	22	2023-11-25 13:09:25	2023-11-25 14:29:34	1
1	23	2023-11-25 16:34:56	2023-11-25 17:55:10	1
1	24	2023-11-25 20:00:32	2023-11-25 21:20:47	1
1 	25	2023-11-25 23:26:20	2023-11-26 00:46:24	1
1	26	2023-11-26 02:51:51	2023-11-26 04:12:01	1
1	27	2023-11-26 06:17:38	2023-11-26 07:37:38	1
1	28	2023-11-26 09:43:16	2023-11-26 11:03:14	1
1	29	2023-11-26 13:08:52	2023-11-26 14:28:50	1
1	30	2023-11-26 16:34:13	2023-11-26 17:54:26	1
0	31	2023-11-26 19:59:59	2023-11-26 21:22:28	0
0	32	2023-11-26 23:28:05	2023-11-27 00:50:45	0
0	33	2023-11-27 02:56:01	2023-11-27 04:18:34 	0
0	34	2023-11-27 06:23:59	2023-11-27 07:46:35	0
1	35	2023-11-27 09:52:25	2023-11-27 11:15:03	1
1	36	2023-11-27 13:20:05	2023-11-27 14:40:24	1
1	37	2023-11-27 16:45:57	2023-11-27 18:06:00	1
1	38	2023-11-27 20:11:58	2023-11-27 21:31:36	1
1	39	2023-11-27 23:36:49	2023-11-28 00:57:12	1
1	40	2023-11-28 03:02:29	2023-11-28 04:22:48	1
1	41	2023-11-28 06:28:25	2023-11-28 07:48:24	1
1	42	2023-11-28 09:53:46	2023-11-28 11:14:00	1
1	43	2023-11-28 13:19:42	2023-11-28 14:39:35	1
1	44	2023-11-28 16:45:23	2023-11-28 18:04:48	1
1	45	2023-11-28 18:10:05	2023-11-28 19:30:09	1
1	46	2023-11-28 20:05:36	2023-11-28 21:25:44	1
1	47	2023-11-28 22:00:56	2023-11-28 23:21:19	1
1	48	2023-11-28 23:56:36	2023-11-29 01:16:55	1
1	49	2023-11-29 01:52:17	2023-11-29 03:12:31	1
1	50	2023-11-29 03:47:58	2023-11-29 05:08:07	1
1	51	2023-11-29 05:43:39	2023-11-29 07:03:43	1
1	52	2023-11-29 07:39:05	2023-11-29 08:59:18	1
1	53	2023-11-29 09:34:51	2023-11-29 10:54:54	1
1	54	2023-11-29 11:30:47	2023-11-29 12:50:30	1
1	55	2023-11-29 13:26:27	2023-11-29 14:46:05	1
1	56	2023-11-29 15:21:57	2023-11-29 16:41:41	1
0	57	2023-11-29 17:17:33	2023-11-29 18:37:16	0
0	58	2023-11-29 19:12:28	2023-11-29 20:32:52	0
1	59	2023-11-29 21:08:19	2023-11-29 22:28:28	1
1	60	2023-11-29 23:04:00	2023-11-30 00:24:04	1
1	61	2023-11-30 00:59:26	2023-11-30 02:22:14	1
1	62	2023-11-30 02:57:31	2023-11-30 04:20:19	1
1	63	2023-11-30 04:55:30	2023-11-30 06:15:43	1
1	64	2023-11-30 06:51:10	2023-11-30 08:11:18	1
1	65	2023-11-30 08:46:45	2023-11-30 10:06:54	1
1	66	2023-11-30 10:41:51	2023-11-30 12:02:30	1
1	67	2023-11-30 12:37:42	2023-11-30 13:58:06	1
1	68	2023-11-30 14:33:33	2023-11-30 15:53:22	1
1	69	2023-11-30 16:28:59	2023-11-30 17:49:17	1
0	70	2023-11-30 18:24:34	2023-11-30 19:44:54	0
0	71	2023-11-30 20:20:11	2023-11-30 21:40:30	0
1	72	2023-11-30 22:15:47	2023-11-30 23:36:05	1
1	73	2023-12-01 00:11:38	2023-12-01 01:31:41	1
1	74	2023-12-01 02:07:03	2023-12-01 03:27:16	1
1	75	2023-12-01 04:02:43	2023-12-01 05:22:52	1
1	76	2023-12-01 05:58:29	2023-12-01 07:18:27	1
1	77	2023-12-01 07:53:44	2023-12-01 09:14:04	1
1	78	2023-12-01 09:49:16	2023-12-01 11:09:30	1
1	79	2023-12-01 11:45:02	2023-12-01 13:05:15	1
1	80	2023-12-01 13:40:12	2023-12-01 15:01:50 	1
1	81	2023-12-01 15:35:57	2023-12-01 16:56:25	1
1	82	2023-12-01 17:31:18	2023-12-01 18:52:01	1
1	83	2023-12-01 19:27:18	2023-12-01 20:47:36	1
1	84	2023-12-01 21:22:59	2023-12-01 22:43:12	1
1	85	2023-12-01 23:18:14	2023-12-02 00:38:47	1
1	86	2023-12-02 01:14:10	2023-12-02 02:34:23	1
1	87	2023-12-02 03:09:51	2023-12-02 04:29:59	1
1	88	2023-12-02 05:05:17	2023-12-02 06:25:36	1 
1	89	2023-12-02 07:01:14	2023-12-02 08:21:13	1
1	90	2023-12-02 08:56:12	2023-12-02 10:16:50	1
1	91	2023-12-02 10:52:07	2023-12-02 12:12:26	1
1	92	2023-12-02 12:47:24	2023-12-02 14:10:21	1
0	93	2023-12-02 14:45:38	2023-12-02 16:08:12	0
0	94	2023-12-02 16:43:25	2023-12-02 18:06:22	0
0	95	2023-12-02 18:41:33	2023-12-02 20:01:49	0
0	96	2023-12-02 20:37:06	2023-12-02 21:57:28	0
0	97	2023-12-02 22:32:45	2023-12-02 23:53:06	0
0	98	2023-12-03 00:28:24	2023-12-03 01:48:45	0
0	99	2023-12-03 02:23:57	2023-12-03 03:44:23	0
0	100	2023-12-03 04:19:36	2023-12-03 05:40:02	0
0	101	2023-12-03 06:15:35	2023-12-03 07:35:41	0
0	102	2023-12-03 08:10:28	2023-12-03 09:31:19	0
0	103	2023-12-03 10:06:26	2023-12-03 11:26:58	0
0	104	2023-12-03 12:02:25	2023-12-03 13:22:37	0
0	105	2023-12-03 13:57:39	2023-12-03 15:18:15 	0
0	106	2023-12-03 15:53:17	2023-12-03 17:13:53	0
0	107	2023-12-03 17:48:30	2023-12-03 19:09:32	0
0	108	2023-12-03 19:44:29	2023-12-03 21:05:11	0
0	109	2023-12-03 21:40:28	2023-12-03 22:43:12	0
0	110	2023-12-03 23:35:41	2023-12-04 00:56:25	0
0	111	2023-12-04 01:31:38	2023-12-04 02:52:02	0
0	112	2023-12-04 03:27:40	2023-12-04 04:47:39	0
0	113	2023-12-04 05:22:31	2023-12-04 06:43:16	0 
0	114	2023-12-04 07:18:29	2023-12-04 08:38:53	0
0	115	2023-12-04 09:13:45	2023-12-04 10:34:30	0
0	116	2023-12-04 11:09:22	2023-12-04 12:30:07	0
1	117	2023-12-04 17:56:53	2023-12-04 19:17:42	1
1	118	2023-12-04 19:52:29	2023-12-04 21:13:18	1
1	119	2023-12-04 21:48:30	2023-12-04 23:08:54	1
1	120	2023-12-04 23:44:06	2023-12-05 01:04:30	1
1	121	2023-12-05 01:39:42	2023-12-05 03:00:06	1
1	122	2023-12-05 03:34:58	2023-12-05 04:55:42 	1
1	123	2023-12-05 05:30:35	2023-12-05 06:51:19	1
1	124	2023-12-05 07:26:10	2023-12-05 08:46:54	1
1	125	2023-12-05 09:22:11	2023-12-05 10:42:30	1
1	126	2023-12-05 11:17:26	2023-12-05 12:38:05	1
1	127	2023-12-05 13:13:43	2023-12-05 14:33:41	1
1	128	2023-12-05 15:08:59	2023-12-05 16:29:18	1
1	129	2023-12-05 17:04:35	2023-12-05 18:24:55	1
1	130	2023-12-05 18:59:02	2023-12-05 20:20:33	1
1	131	2023-12-05 20:55:30	2023-12-05 22:16:09	1
1	132	2023-12-05 22:51:26	2023-12-06 00:11:45	1
1	133	2023-12-06 00:46:42	2023-12-06 02:07:21	1
1	134	2023-12-06 02:42:38	2023-12-06 04:02:57	1
1	135	2023-12-06 04:38:00	2023-12-06 05:58:33	1
1	136	2023-12-06 06:34:01	2023-12-06 07:54:10	1
1	137	2023-12-06 10:01:57	2023-12-06 11:21:55	1
1	138	2023-12-06 11:57:07	2023-12-06 13:17:31	1
1	139	2023-12-06 13:52:53	2023-12-06 15:13:06	1
1	140	2023-12-06 15:48:58	2023-12-06 17:08:42	1 
1	141	2023-12-06 17:21:54	2023-12-06 18:41:43	1
1	142	2023-12-06 19:17:15	2023-12-06 20:37:19	1
1	143	2023-12-06 21:12:46	2023-12-06 22:32:55	1
1	144	2023-12-06 23:07:57	2023-12-07 00:28:30	1
1	145	2023-12-07 01:03:52	2023-12-07 02:24:06	1
1	146	2023-12-07 02:59:33	2023-12-07 04:19:42	1
1	147	2023-12-07 04:55:09	2023-12-07 06:15:18	1 
1	148	2023-12-07 06:50:40	2023-12-07 08:10:53	1
1	149	2023-12-07 08:46:00	2023-12-07 10:06:29	1
1	150	2023-12-07 10:41:56	2023-12-07 12:02:05	1
1	151	2023-12-07 12:37:42	2023-12-07 13:57:41	1
1	152	2023-12-07 14:32:48	2023-12-07 15:53:17	1
1	153	2023-12-07 16:28:39	2023-12-07 17:48:53	1
1	154	2023-12-07 18:24:15	2023-12-07 19:44:29	1
1	155	2023-12-07 20:19:46	2023-12-07 21:40:05	1
1	156	2023-12-07 22:15:32	2023-12-07 23:35:41	1
1	157	2023-12-08 00:11:08	2023-12-08 01:31:16	1
1	158	2023-12-08 02:06:39	2023-12-08 03:26:53	1
1	159	2023-12-08 04:01:55	2023-12-08 05:22:29	1
1	160	2023-12-08 05:57:57	2023-12-08 07:18:05	1
1	161	2023-12-08 07:53:27	2023-12-08 09:13:41	1
1	162	2023-12-08 09:49:08	2023-12-08 11:09:17	1	
1	163	2023-12-08 11:44:29	2023-12-08 13:04:53	1
1	164	2023-12-08 13:40:25	2023-12-08 15:00:29	1
1	165	2023-12-08 15:35:52	2023-12-08 16:56:05	1
1	166	2023-12-08 17:31:33	2023-12-08 18:51:41	1
1	167	2023-12-08 19:27:24	2023-12-08 20:47:17 	1
1	168	2023-12-08 21:22:49	2023-12-08 22:42:53	1
1	169	2023-12-08 23:18:00	2023-12-09 00:38:28	1
1	170	2023-12-09 01:13:50	2023-12-09 02:34:04	1
1	171	2023-12-09 03:09:31	2023-12-09 04:29:40	1
1	172	2023-12-09 05:04:58	2023-12-09 06:25:18	1
1	173	2023-12-09 07:00:45	2023-12-09 08:20:54	1
1	174	2023-12-09 08:56:21	2023-12-09 10:16:31	1
1	175	2023-12-09 10:51:48	2023-12-09 12:12:07	1
1	176	2023-12-09 12:47:44	2023-12-09 14:07:44	1
1	177	2023-12-09 14:43:16	2023-12-09 16:03:20	1
1	178	2023-12-09 16:38:27	2023-12-09 17:58:57	1
1	179	2023-12-09 18:34:25	2023-12-09 19:54:35	1
1	180	2023-12-09 20:29:52	2023-12-09 21:50:11	1
1	181	2023-12-09 22:25:34	2023-12-09 23:45:58	1
1	182	2023-12-10 00:21:20	2023-12-10 01:41:25	1
1	183	2023-12-10 02:17:12	2023-12-10 03:37:02	1
1	184	2023-12-10 04:12:29	2023-12-10 05:32:38	1
1	185	2023-12-10 06:08:06	2023-12-10 07:28:16	1
1	186	2023-12-10 08:03:48	2023-12-10 09:23:52	1
1	187	2023-12-10 09:59:50	2023-12-10 11:19:29	1
1	188	2023-12-10 11:54:56	2023-12-10 13:15:07	1
1	189	2023-12-10 13:51:24	2023-12-10 15:10:42	1
1	190	2023-12-10 15:46:14	2023-12-10 17:06:17	1
1	191	2023-12-10 17:41:49	2023-12-10 19:01:52	1
1	192	2023-12-10 19:37:14	2023-12-10 20:57:27	1
1	193	2023-12-10 21:33:05	2023-12-10 22:53:03	1
1	194	2023-12-10 23:28:30	2023-12-11 00:48:38	1
1	195	2023-12-11 01:24:05	2023-12-11 02:44:13	1
1	196	2023-12-11 03:19:40	2023-12-11 04:39:49	1
1	197	2023-12-11 05:15:21	2023-12-11 06:35:24	1
1	198	2023-12-11 18:02:19	2023-12-11 19:24:15	1
0	199	2023-12-11 21:57:13	2023-12-11 23:19:04	0
0	200	2023-12-11 23:54:22	2023-12-12 01:16:12	0
0	201	2023-12-12 01:51:33	2023-12-12 03:13:49	0
0	202	2023-12-12 03:49:29	2023-12-12 05:11:49	0
0	203	2023-12-12 05:46:58	2023-12-12 07:08:26	0
0	204	2023-12-12 07:44:06	2023-12-12 09:05:46	0
1	205	2023-12-12 12:04:29	2023-12-12 13:24:52	1
1	206	2023-12-12 14:00:24	2023-12-12 15:20:27	1
1	207	2023-12-12 15:55:44	2023-12-12 17:16:02	1
1	208	2023-12-12 17:51:30	2023-12-12 19:11:38	1
1	209	2023-12-12 19:47:05	2023-12-12 21:06:08	1
1	210	2023-12-13 08:33:20	2023-12-13 09:53:39	1
1	211	2023-12-13 10:28:51	2023-12-13 11:49:13	1
1	212	2023-12-13 12:24:35	2023-12-13 13:44:48	1
1	213	2023-12-13 14:20:20	2023-12-13 15:40:22	1
1	214	2023-12-13 16:15:50	2023-12-13 17:35:57	1
1	215	2023-12-18 15:24:11	2023-12-18 16:25:46	1
1	216	2023-12-18 16:44:33	2023-12-18 17:44:49	1
1	217	2023-12-18 21:50:13	2023-12-18 22:50:33	1
1	218	2023-12-18 23:09:26	2023-12-19 00:09:37	1
1	219	2023-12-19 00:28:16	2023-12-19 01:28:42	1
1	220	2023-12-19 01:47:29	2023-12-19 02:47:45	1
1	221	2023-12-19 03:06:34	2023-12-19 04:06:54	1
1	222	2023-12-19 04:25:47	2023-12-19 05:26:02	1
1	223	2023-12-19 05:44:44	2023-12-19 06:45:05	1
1	224	2023-12-19 07:03:57	2023-12-19 08:04:23	1
1	225	2023-12-19 08:23:16	2023-12-19 09:23:37	1
1	226	2023-12-19 09:42:31	2023-12-19 10:42:37	1
1	227	2023-12-19 11:01:22	2023-12-19 12:01:43	1
1	228	2023-12-19 12:20:36	2023-12-19 13:20:47	1
1	229	2023-12-19 13:39:36	2023-12-19 14:39:52	1
1	230	2023-12-19 17:07:29	2023-12-19 18:07:56	1
1	231	2023-12-19 18:26:42	2023-12-19 19:26:58	1
1	232	2023-12-19 19:45:38	2023-12-19 20:46:03	1
1	233	2023-12-19 21:04:51	2023-12-19 22:05:06	0
1	234	2023-12-19 22:24:40	2023-12-20 00:53:08	0
1	235	2023-12-20 08:23:52	2023-12-20 09:28:53	1
